use_id,user_id,platform,platform_version,Device,use_type_id,Retail Branding,Marketing Name,Model,outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb
22971,29696,android,5.1,SM-G903F,1,Samsung,Galaxy S5 Neo,s5neolte,248.95,52.47,1557.33
22972,29696,android,5.1,SM-G903F,1,Samsung,Galaxy S5 Neo,s5neolte,248.95,52.47,1557.33
22787,12921,android,4.3,GT-I9505,1,Samsung,Galaxy S4,jflte,21.97,4.82,1557.33
22801,10976,android,4.4,GT-I9505,1,Samsung,Galaxy S4,jflte,69.8,14.7,25955.55
22875,27593,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,249.26,253.22,1557.33
22876,27593,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,249.26,253.22,1557.33
22880,29366,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,83.46,114.06,3114.67
22888,29668,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,125.32,38.53,3114.67
22908,10563,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,143.81,79.38,9005.49
22942,20474,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,61.43,125.51,519.12
22965,2873,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,302.11,83.14,1557.33
22977,24520,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,360.86,103.92,3114.67
22997,26328,android,5.0,GT-I9505,1,Samsung,Galaxy S4,jflte,123.2,5.83,10158.5
22788,28714,android,6.0,SM-G930F,1,Samsung,Galaxy S7,herolte,1710.08,136.88,7267.55
22789,28714,android,6.0,SM-G930F,1,Samsung,Galaxy S7,herolte,1710.08,136.88,7267.55
23021,28220,android,6.0,SM-G930F,1,Samsung,Galaxy S7,herolte,63.56,26.87,9344.0
22790,29592,android,5.1,D2303,1,Sony,Xperia M2,D2303,94.46,35.17,519.12
22854,29592,android,5.1,D2303,1,Sony,Xperia M2,D2303,99.23,35.58,519.12
22792,28217,android,5.1,SM-G361F,1,Samsung,Galaxy Core Prime,coreprimevelte,71.59,79.26,1557.33
22793,28217,android,5.1,SM-G361F,1,Samsung,Galaxy Core Prime,coreprimevelte,71.59,79.26,1557.33
22794,28217,android,5.1,SM-G361F,1,Samsung,Galaxy Core Prime,coreprimevelte,71.59,79.26,519.12
22795,28217,android,5.1,SM-G361F,1,Samsung,Galaxy Core Prime,coreprimevelte,71.59,79.26,519.12
23020,29714,android,5.1,SM-G361F,1,Samsung,Galaxy Core Prime,coreprimevelte,42.93,124.33,519.12
22939,14785,android,4.4,SM-A300FU,1,Samsung,Galaxy A3,a3ulte,221.64,83.86,519.12
22994,29705,android,6.0,SM-A300FU,1,Samsung,Galaxy A3,a3ulte,95.22,207.59,1557.33
22995,29705,android,6.0,SM-A300FU,1,Samsung,Galaxy A3,a3ulte,95.22,207.59,3114.67
23015,28945,android,6.0,SM-A300FU,1,Samsung,Galaxy A3,a3ulte,87.76,140.61,1557.33
22804,29645,android,6.0,SM-G935F,1,Samsung,Galaxy S7 Edge,hero2lte,554.41,150.06,3114.67
22840,28551,android,6.0,SM-G935F,1,Samsung,Galaxy S7 Edge,hero2lte,184.63,153.86,3114.67
22852,29518,android,6.0,SM-G935F,1,Samsung,Galaxy S7 Edge,hero2lte,420.21,274.76,519.12
22853,29518,android,6.0,SM-G935F,1,Samsung,Galaxy S7 Edge,hero2lte,420.21,274.76,519.12
22982,26565,android,6.0,SM-G935F,1,Samsung,Galaxy S7 Edge,hero2lte,49.71,38.02,15573.33
22805,29646,android,4.2,GT-I9195,1,Samsung,Galaxy S4 Mini,serranolte,189.1,24.08,519.12
22887,29310,android,4.4,GT-I9195,1,Samsung,Galaxy S4 Mini,serranolte,16.24,18.82,1557.33
22916,19526,android,4.4,GT-I9195,1,Samsung,Galaxy S4 Mini,serranolte,392.95,89.48,1557.33
22806,21615,android,6.0,A0001,1,OnePlus,OnePlus One,A0001,283.3,107.47,15573.33
22839,29655,android,6.0,A0001,1,OnePlus,OnePlus One,A0001,57.49,16.73,15573.33
22808,29065,android,6.0,SM-G900F,1,Samsung,Galaxy S5,klte,324.34,92.52,519.12
22823,29652,android,6.0,SM-G900F,1,Samsung,Galaxy S5,klte,164.1,192.64,3114.67
22824,28953,android,6.0,SM-G900F,1,Samsung,Galaxy S5,klte,208.26,91.76,5191.12
